,id,time,name,homeTeam,awayTeam,unique_name,price,extractTime,ticket_count,days_to_game,diff_initial,diff_max
0,104722879.0,2021-06-11 00:00:00.000000,Texas Rangers at Los Angeles Dodgers,Los Angeles Dodgers,Texas Rangers,Texas Rangers at Los Angeles Dodgers: 2021-06-11,58.62,2021-06-08 17:51:48.284897,0,2.0,0.0,0.8140566359604232
1,104725408.0,2021-06-12 00:00:00.000000,Texas Rangers at Los Angeles Dodgers,Los Angeles Dodgers,Texas Rangers,Texas Rangers at Los Angeles Dodgers: 2021-06-12,29.16,2021-06-08 17:51:48.284897,0,3.0,0.0,0.4513031550068587
2,104725409.0,2021-06-13 00:00:00.000000,Texas Rangers at Los Angeles Dodgers,Los Angeles Dodgers,Texas Rangers,Texas Rangers at Los Angeles Dodgers: 2021-06-13,28.04,2021-06-08 17:51:48.284897,0,4.0,0.0,0.23145506419400863
3,104724531.0,2021-06-14 00:00:00.000000,Philadelphia Phillies at Los Angeles Dodgers,Los Angeles Dodgers,Philadelphia Phillies,Philadelphia Phillies at Los Angeles Dodgers: 2021-06-14,35.55,2021-06-08 17:51:48.284897,0,5.0,0.0,0.0
4,104725410.0,2021-06-15 00:00:00.000000,Philadelphia Phillies at Los Angeles Dodgers,Los Angeles Dodgers,Philadelphia Phillies,Philadelphia Phillies at Los Angeles Dodgers: 2021-06-15,24.99,2021-06-08 17:51:48.284897,0,6.0,0.0,0.3281312525010004
5,104725411.0,2021-06-16 00:00:00.000000,Philadelphia Phillies at Los Angeles Dodgers,Los Angeles Dodgers,Philadelphia Phillies,Philadelphia Phillies at Los Angeles Dodgers: 2021-06-16,39.29,2021-06-08 17:51:48.284897,0,7.0,0.0,0.009926189870195994
6,104722883.0,2021-06-24 00:00:00.000000,Chicago Cubs at Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Chicago Cubs at Los Angeles Dodgers: 2021-06-24,46.19,2021-06-08 17:51:48.284897,0,15.0,0.0,0.37951937648841744
7,104722884.0,2021-06-25 00:00:00.000000,Chicago Cubs at Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Chicago Cubs at Los Angeles Dodgers: 2021-06-25,44.96,2021-06-08 17:51:48.284897,0,16.0,0.0,0.02735765124555153
8,104722885.0,2021-06-26 00:00:00.000000,Chicago Cubs at Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Chicago Cubs at Los Angeles Dodgers: 2021-06-26,48.92,2021-06-08 17:51:48.284897,0,17.0,0.0,0.007767784137367037
9,104722886.0,2021-06-27 00:00:00.000000,Chicago Cubs at Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Chicago Cubs at Los Angeles Dodgers: 2021-06-27,36.37,2021-06-08 17:51:48.284897,0,18.0,0.0,0.016497113005224127
10,104725415.0,2021-06-28 00:00:00.000000,San Francisco Giants at Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants at Los Angeles Dodgers: 2021-06-28,34.05,2021-06-08 17:51:48.284897,0,19.0,0.0,0.0
11,104725416.0,2021-06-29 00:00:00.000000,San Francisco Giants at Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants at Los Angeles Dodgers: 2021-06-29,44.15,2021-06-08 17:51:48.284897,0,20.0,0.0,1.2423556058890148
12,104724572.0,2021-07-09 00:00:00.000000,Arizona Diamondbacks at Los Angeles Dodgers,Los Angeles Dodgers,Arizona Diamondbacks,Arizona Diamondbacks at Los Angeles Dodgers: 2021-07-09,32.69,2021-06-08 17:51:48.284897,0,30.0,0.0,0.14102171918017742
13,104724574.0,2021-07-10 00:00:00.000000,Arizona Diamondbacks at Los Angeles Dodgers,Los Angeles Dodgers,Arizona Diamondbacks,Arizona Diamondbacks at Los Angeles Dodgers: 2021-07-10,44.96,2021-06-08 17:51:48.284897,0,31.0,0.0,0.013345195729537398
14,104724575.0,2021-07-11 00:00:00.000000,Arizona Diamondbacks at Los Angeles Dodgers,Los Angeles Dodgers,Arizona Diamondbacks,Arizona Diamondbacks at Los Angeles Dodgers: 2021-07-11,29.01,2021-06-08 17:51:48.284897,0,32.0,0.0,0.0
15,104724576.0,2021-07-19 00:00:00.000000,San Francisco Giants at Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants at Los Angeles Dodgers: 2021-07-19,37.6,2021-06-08 17:51:48.284897,0,40.0,0.0,0.5601063829787233
16,104724577.0,2021-07-20 00:00:00.000000,San Francisco Giants at Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants at Los Angeles Dodgers: 2021-07-20,37.6,2021-06-08 17:51:48.284897,0,41.0,0.0,0.0
17,104725433.0,2021-07-21 00:00:00.000000,San Francisco Giants at Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants at Los Angeles Dodgers: 2021-07-21,33.92,2021-06-08 17:51:48.284897,0,42.0,0.0,0.0
18,104724579.0,2021-07-22 00:00:00.000000,San Francisco Giants at Los Angeles Dodgers,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants at Los Angeles Dodgers: 2021-07-22,38.83,2021-06-08 17:51:48.284897,0,43.0,0.0,0.09477208344063867
19,104724581.0,2021-07-23 00:00:00.000000,Colorado Rockies at Los Angeles Dodgers,Los Angeles Dodgers,Colorado Rockies,Colorado Rockies at Los Angeles Dodgers: 2021-07-23,32.69,2021-06-08 17:51:48.284897,0,44.0,0.0,0.0376261853777915
